table_name,field_name,language,translation,record_id,field_value
stops,stop_name,ga,An Cheathrú Rua,8510B531191,
stops,stop_name,ga,An Cheathrú Rua,8510LL10675,
stops,stop_name,ga,An Chéibh Nua,8360B345881,
stops,stop_name,ga,An Chéibh Nua,8360B345891,
stops,stop_name,ga,An Chéis,8510B554641,
stops,stop_name,ga,An Chéis,8510B5546601,
stops,stop_name,ga,An Chill,8260B1037601,
stops,stop_name,ga,An Chill,8260B1042701,
stops,stop_name,ga,An Chill,8260LL11242,
stops,stop_name,ga,An Chill,8450LL10851,
stops,stop_name,ga,An Chill Dubh,841000160,
stops,stop_name,ga,An Chill Mhór,834000186,
stops,stop_name,ga,An Chill Mhór,834000296,
stops,stop_name,ga,An Chill Mhór,8520CO11046,
stops,stop_name,ga,An Chill Mhór,8520CO11047,
stops,stop_name,ga,An Chillín Liath,8390LL11000,
stops,stop_name,ga,An Chlais Ard,8470B534161,
stops,stop_name,ga,An Chlais Ard,8470B543101,
stops,stop_name,ga,An Chloch,827000001,
stops,stop_name,ga,An Chloch,827000005,
stops,stop_name,ga,An Chloch,8340B355231,
stops,stop_name,ga,An Chloch,8340B355291,
stops,stop_name,ga,An Chloch Dhubh,8380B235091,
stops,stop_name,ga,An Chloch Dhubh,8380B2361101,
stops,stop_name,ga,An Chloch Fhionn Ts,853000354,
stops,stop_name,ga,An Chloch Leathan,8220DB000190,
stops,stop_name,ga,An Chloch Leathan,8220DB000195,
stops,stop_name,ga,An Chloch Leathan,8220GA00468,
stops,stop_name,ga,An Chloch Leathan,8220GA00481,
stops,stop_name,ga,An Chloch Mhantach,827000029,
stops,stop_name,ga,An Chloch Mhantach,8270PB14396,
stops,stop_name,ga,An Chloichín,8430B351221,
stops,stop_name,ga,An Chloichín,8430B3512401,
stops,stop_name,ga,An Chluain,847000015,
stops,stop_name,ga,An Chluain,847000032,
stops,stop_name,ga,An Chnapach,8490B5533001,
stops,stop_name,ga,An Chnapach,8490B553311,
stops,stop_name,ga,An Choill Bhán,8310LL12504,
stops,stop_name,ga,An Choill Bhán,8310LL12505,
stops,stop_name,ga,An Choill Bheag,8250DB005014,
stops,stop_name,ga,An Choill Mhóir,8220DB001956,
stops,stop_name,ga,An Choill Mhóir,8220DB001982,
stops,stop_name,ga,An Choill Mhóir,8220DB007941,
stops,stop_name,ga,An Choill Mhóir,8220GA00356,
stops,stop_name,ga,An Choill Mhóir,8220GA00357,
stops,stop_name,ga,An Choill Mhóir,8400B609741,
stops,stop_name,ga,An Choill Mhóir,8470B534531,
stops,stop_name,ga,An Choill Mhóir,8470B554061,
stops,stop_name,ga,An Choill Mhór,847000054,
stops,stop_name,ga,An Choill Mhór,847000058,
stops,stop_name,ga,An Choill Mhór,8470PB000688,
stops,stop_name,ga,An Choill Mór Luas,8220DB002786,
stops,stop_name,ga,An Chollchoill,8240DB005055,
stops,stop_name,ga,An Chollchoill,8240DB006009,
stops,stop_name,ga,An Chollchoill,8250DB003541,
stops,stop_name,ga,An Chollchoill,8250DB003553,
stops,stop_name,ga,An Chora Uachtair,8470B530001,
stops,stop_name,ga,An Chora Uachtair,8470B531731,
stops,stop_name,ga,An Choraidh,8510B5520001,
stops,stop_name,ga,An Choraidh,8510B552221,
stops,stop_name,ga,An Chorr Dhubh,8240B100141,
stops,stop_name,ga,An Chorr Dhubh,8240B100181,
stops,stop_name,ga,An Chorr Dhubh,8240DB001819,
stops,stop_name,ga,An Chorr Dhubh,8240DB001835,
stops,stop_name,ga,An Chorr Mhín,8310LL14948,
stops,stop_name,ga,An Chorr Mhór,8340LL14001,
stops,stop_name,ga,An Chorr Mhór,8340LL14015,
stops,stop_name,ga,An Chorrchoill,8260B1047601,
stops,stop_name,ga,An Chorrchoill,8260B1330101,
stops,stop_name,ga,An Chorrghráig,8410B0335611,
stops,stop_name,ga,An Chorrghráig,8410B0335621,
stops,stop_name,ga,An Chrannach,8470LL14264,
stops,stop_name,ga,An Chrannach,8470LL14265,
